Company,Exchange,Symbol,Industry,Date added,Notes,Index weighting,Tags
3M,NYSE,MMM,Conglomerate,1976-08-09,As Minnesota Mining and Manufacturing,3.80%,"mei,chem,cong"
American Express,NYSE,AXP,Financial services,1982-08-30,,2.35%,"reit,finserv"
Amgen,NASDAQ,AMGN,Pharmaceutical industry,2020-08-31,,5.81%,"cgh,pharma"
Apple Inc.,NASDAQ,AAPL,Information technology,2015-03-19,,2.87%,"csit,tech"
Boeing,NYSE,BA,Aerospace and defense,1987-03-12,,4.04%,"mei,aero"
Caterpillar Inc.,NYSE,CAT,Construction and Mining,1991-05-06,,3.30%,"mei,const,auto"
Chevron Corporation,NYSE,CVX,Petroleum industry,2008-02-19,Also 1930-07-18 to 1999-11-01,1.97%,"mei,oil"
Cisco Systems,NASDAQ,CSCO,Information technology,2009-06-08,,0.97%,"csit,data"
The Coca-Cola Company,NYSE,KO,Food industry,1987-03-12,Also 1932-05-26 to 1935-11-20,1.14%,"cgh,food"
Dow Inc.,NYSE,DOW,Chemical industry,2019-04-02,,1.06%,"mei,chem,cong"
Goldman Sachs,NYSE,GS,Financial services,2013-09-20,,4.77%,"reit,finserv"
The Home Depot,NYSE,HD,Retailing,1999-11-01,,6.57%,"cgh,retail"
Honeywell,NYSE,HON,Conglomerate,2020-08-31,,3.87%,"mei,cong"
IBM,NYSE,IBM,Information technology,1979-06-29,Also 1932-05-26 to 1939-03-04,2.87%,"csit,data"
Intel,NASDAQ,INTC,Information technology,1999-11-01,,1.16%,"csit,tech"
Johnson & Johnson,NYSE,JNJ,Pharmaceutical industry,1997-03-17,,3.53%,"cgh,pharma"
JPMorgan Chase,NYSE,JPM,Financial services,1991-05-06,,2.36%,"reit,finserv"
McDonald's,NYSE,MCD,Food industry,1985-10-30,,4.93%,"cgh,food"
Merck & Co.,NYSE,MRK,Pharmaceutical industry,1979-06-29,,1.97%,"cgh,pharma"
Microsoft,NASDAQ,MSFT,Information technology,1999-11-01,,5.26%,"csit,data,tech"
Nike,NYSE,NKE,Apparel,2013-09-20,,2.58%,"cgh,retail"
Procter & Gamble,NYSE,PG,Fast-moving consumer goods,1932-05-26,,3.19%,"cgh,retail"
Salesforce,NYSE,CRM,Information technology,2020-08-31,,6.23%,"csit,data"
The Travelers Companies,NYSE,TRV,Financial services,2009-06-08,,2.66%,"reit,finserv"
UnitedHealth Group,NYSE,UNH,Managed health care,2012-09-24,,7.22%,"cgh,pharma"
Verizon,NYSE,VZ,Telecommunication,2004-04-08,,1.36%,"csit,com"
Visa Inc.,NYSE,V,Financial services,2013-09-20,,4.95%,"reit,finserv"
Walgreens Boots Alliance,NASDAQ,WBA,Retailing,2018-06-26,,0.89%,"cgh,retail"
Walmart,NYSE,WMT,Retailing,1997-03-17,,3.22%,"cgh,retail"
The Walt Disney Company,NYSE,DIS,Broadcasting and entertainment,1991-05-06,,3.11%,"csit,cong"
